sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S0456846;Smartphone Realme 12 5G 6,7\" 8 GB RAM 256 GB;https://cdnbigbuy.com/images/6941764428164_S0456846_P00.jpg;-;0;1;0;5;260;1;-;189.36;0.00%;-;201.45;0.00%;
S0453565;Smartphone Motorola 40 Ultra 256 GB 8 GB RAM Black;https://cdnbigbuy.com/images/0840023240140_S0453565_P01.jpg;-;0;1;0;5;1;1;-;563.79;0.00%;-;606.23;0.00%;
S7788999;Screen Magnifier for Mobile Devices Celly KIDSMOVIEBL Blue;https://cdnbigbuy.com/images/8021735201939_S7788999_P10.jpg;-;0;1;0;5;95;1;-;5.33;0.00%;-;7.11;0.00%;
S0441786;Smartphone Cubot POCKET 4\" Quad Core 4 GB RAM;https://cdnbigbuy.com/images/6924136717806_S0441786_P02.jpg;-;0;1;0;5;6;1;-;116.48;0.00%;-;123.91;0.00%;
S0442239;Smartphone Xiaomi Redmi Note 11 6,5\" Octa Core 4 GB RAM 64 GB;https://cdnbigbuy.com/images/6934177768262_S0442239_P02.jpg;-;1;1;0;5;0;1;-;148.18;0.00%;-;157.64;0.00%;
S5629098;Smartphone Samsung Galaxy S24+ 12 GB RAM 256 GB Grey;https://cdnbigbuy.com/images/8806095306810_S5629098_P00.jpg;-;0;1;0;5;4;1;-;844.47;0.00%;-;908.03;0.00%;
S0441784;Smartphone Cubot POCKET 64 GB 4\" Quad Core 4 GB RAM;https://cdnbigbuy.com/images/6924136717790_S0441784_P02.jpg;-;0;1;0;5;5;1;-;112.80;0.00%;-;120.00;0.00%;
S8103528;Smartphone Xiaomi 6,55\" Black 8 GB RAM 6,67\" 256 GB;https://cdnbigbuy.com/images/6941812709696_R01.jpg;-;2;1;0;5;0;1;-;218.01;0.00%;-;231.93;0.00%;
S0454262;Smartphone Cubot KING KONG 8 6,5\" 256 GB 6 GB RAM Black;https://cdnbigbuy.com/images/6924136719633_S0454262_P00.jpg;-;0;1;0;5;8;1;-;141.14;0.00%;-;150.15;0.00%;
S8104568;Mobile phone Nokia 2660 FLIP Pink 2,8\" 128 MB;https://cdnbigbuy.com/images/6438409088345_S8104568_P01.jpg;-;1;1;0;5;0;1;-;53.48;0.00%;-;59.42;0.00%;
