Weight;AD(Andorra);AE(United Arab Emirates);AF(Afghanistan);AG(Antigua and Barbuda);AI(Anguilla);AL(Albania);AM(Armenia);AO(Angola);AR(Argentina);AS(American Samoa);AT(Austria);AU(Australia);AW(Aruba);AZ(Azerbaijan);BA(Bosnia and Herzegovina);BB(Barbados);BD(Bangladesh);BE(Belgium);BF(Burkina Faso);BG(Bulgaria);BH(Bahrain);BI(Burundi);BJ(Benin);BL(Saint Barthelemy);BM(Bermuda);BN(Brunei);BO(Bolivia);BR(Brazil);BS(Bahamas);BT(Bhutan);BW(Botswana);BY(Belarus);BZ(Belize);CA(Canada);CD(Congo, Dem. Republic);CF(Central African Republic);CG(Congo, Republic);CH(Switzerland);CI(Ivory Coast);CK(Cook Islands);CL(Chile);CM(Cameroon);CN(China);CO(Colombia);CR(Costa Rica);CU(Cuba);CV(Cape Verde);CY(Cyprus);CZ(Czech Republic);DE(Germany);DJ(Djibouti);DK(Denmark);DM(Dominica);DO(Dominican Republic);DZ(Algeria);EC(Ecuador);EE(Estonia);EG(Egypt);ER(Eritrea);ES(Spain);ET(Ethiopia);FI(Finland);FJ(Fiji);FM(Micronesia);FO(Faroe Islands);FR(France);GA(Gabon);GB(United Kingdom);GD(Grenada);GE(Georgia);GF(French Guiana);GG(Guernsey);GH(Ghana);GI(Gibraltar);GL(Greenland);GM(Gambia);GN(Guinea);GP(Guadeloupe);GQ(Equatorial Guinea);GR(Greece);GT(Guatemala);GU(Guam);GW(Guinea-Bissau);GY(Guyana);HK(HongKong);HN(Honduras);HR(Croatia);HT(Haiti);HU(Hungary);ID(Indonesia);IE(Ireland);IL(Israel);IN(India);IQ(Iraq);IR(Iran);IS(Iceland);IT(Italy);JE(Jersey);JM(Jamaica);JO(Jordan);JP(Japan);KE(Kenya);KG(Kyrgyzstan);KH(Cambodia);KI(Kiribati);KM(Comoros);KR(South Korea);KW(Kuwait);KY(Cayman Islands);KZ(Kazakhstan);LA(Laos);LB(Lebanon);LC(Saint Lucia);LI(Liechtenstein);LK(Sri Lanka);LR(Liberia);LS(Lesotho);LT(Lithuania);LU(Luxemburg);LV(Latvia);LY(Libya);MA(Morocco);MC(Monaco);MD(Moldova);ME(Montenegro);MF(Saint Martin);MG(Madagascar);MH(Marshall Islands);MK(Macedonia);ML(Mali);MM(Burma (Myanmar));MN(Mongolia);MO(Macau);MP(Northern Mariana Islands);MQ(Martinique);MR(Mauritania);MS(Montserrat);MT(Malta);MU(Mauritius);MV(Maldives);MW(Malawi);MX(Mexico);MY(Malaysia);MZ(Mozambique);NA(Namibia);NC(New Caledonia);NE(Niger);NG(Nigeria);NI(Nicaragua);NL(Netherlands);NO(Norway);NP(Nepal);NR(Nauru);NU(Niue);NZ(New Zealand);OM(Oman);PA(Panama);PE(Peru);PF(French Polynesia);PG(Papua New Guinea);PH(Philippines);PK(Pakistan);PL(Poland);PR(Puerto Rico);PS(Palestinian Territories);PT(Portugal);PW(Palau);PY(Paraguay);QA(Qatar);RE(Reunion Island);RO(Romania);RS(Serbia);RU(Russian Federation);RW(Rwanda);SA(Saudi Arabia);SB(Solomon Islands);SC(Seychelles);SD(Sudan);SE(Sweden);SG(Singapore);SI(Slovenia);SK(Slovakia);SL(Sierra Leone);SM(San Marino);SN(Senegal);SO(Somalia);SR(Suriname);ST(São Tomé and Príncipe);SV(El Salvador);SY(Syria);SZ(Swaziland);TC(Turks and Caicos Islands);TD(Chad);TG(Togo);TH(Thailand);TJ(Tajikistan);TL(East Timor);TM(Turkmenistan);TN(Tunisia);TO(Tonga);TR(Turkey);TT(Trinidad and Tobago);TV(Tuvalu);TW(Taiwan);TZ(Tanzania);UA(Ukraine);UG(Uganda);US(United States);UY(Uruguay);UZ(Uzbekistan);VC(Saint Vincent and the Grenadines);VE(Venezuela);VG(Virgin Islands (British));VI(Virgin Islands (U.S.));VN(Vietnam);VU(Vanuatu);WF(Wallis and Futuna);WS(Samoa);YE(Yemen);YT(Mayotte);ZA(South Africa);ZM(Zambia);ZW(Zimbabwe) 
110;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;69.3;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;948.6;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;519.2;959.7;1374.54;959.7;77;959.7;860.49;817.14;959.7;847.8;860.49;860.49;860.49;959.7;110.1;76.23;77;1545.62;77;860.49;860.49;959.7;860.49;91.25;948.6;959.7;37.37;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;322.06;959.7;45.05;519.2;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;847.8;860.49;95.7;860.49;82.5;860.49;78.1;948.6;847.8;959.7;959.7;110.1;77.84;63.8;860.49;948.6;847.8;959.7;959.7;1545.62;959.7;1545.62;847.8;948.6;860.49;722.8;959.7;948.6;959.7;77.39;847.8;959.7;959.7;97.9;56.1;91.25;959.7;117.02;72.6;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;847.8;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;519.2;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;75.9;519.2;959.7;44.94;959.7;860.49;948.6;959.7;104.5;103.4;722.8;959.7;948.6;860.49;959.7;959.7;110.1;847.8;82.5;82.5;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;847.8;860.49;959.7;1545.62;959.7;959.7;117.02;860.49;959.7;847.8;959.7;117.02;1545.62;376.2;860.49;722.8;959.7;860.49;860.49;860.49;860.49;1545.62;959.7;959.7;959.7;959.7;959.7;959.7;959.7
111;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;69.93;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;956.8;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;523.6;959.7;1383.22;959.7;77.7;959.7;860.49;817.14;959.7;855.1;860.49;860.49;860.49;959.7;110.1;76.92;77.7;1555.24;77.7;860.49;860.49;959.7;860.49;92.07;956.8;959.7;37.71;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;324.01;959.7;45.05;523.6;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;855.1;860.49;96.57;860.49;83.25;860.49;78.81;956.8;855.1;959.7;959.7;110.1;77.84;64.38;860.49;956.8;855.1;959.7;959.7;1555.24;959.7;1555.24;855.1;956.8;860.49;729;959.7;956.8;959.7;78.09;855.1;959.7;959.7;98.79;56.61;92.07;959.7;117.02;73.26;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;855.1;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;523.6;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;76.59;523.6;959.7;45.05;959.7;860.49;956.8;959.7;105.45;104.34;729;959.7;956.8;860.49;959.7;959.7;110.1;855.1;83.25;83.25;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;855.1;860.49;959.7;1555.24;959.7;959.7;117.02;860.49;959.7;855.1;959.7;117.02;1555.24;379.3;860.49;729;959.7;860.49;860.49;860.49;860.49;1555.24;959.7;959.7;959.7;959.7;959.7;959.7;959.7
112;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;70.56;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;528;959.7;1391.9;959.7;78.4;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;77.62;77.84;1564.87;78.4;860.49;860.49;959.7;860.49;92.9;959.7;959.7;38.05;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;325.95;959.7;45.05;528;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;97.44;860.49;84;860.49;79.52;959.7;860.49;959.7;959.7;110.1;77.84;64.96;860.49;959.7;860.49;959.7;959.7;1564.87;959.7;1564.87;860.49;959.7;860.49;735.2;959.7;959.7;959.7;78.79;860.49;959.7;959.7;99.68;57.12;92.9;959.7;117.02;73.92;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;862.4;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;528;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;77.28;528;959.7;45.05;959.7;860.49;959.7;959.7;106.4;105.28;735.2;959.7;959.7;860.49;959.7;959.7;110.1;860.49;84;84;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1564.87;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1564.87;382.4;860.49;735.2;959.7;860.49;860.49;860.49;860.49;1564.87;959.7;959.7;959.7;959.7;959.7;959.7;959.7
113;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;71.19;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;532.4;959.7;1400.57;959.7;79.1;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;78.31;77.84;1574.49;79.1;860.49;860.49;959.7;860.49;93.73;959.7;959.7;38.39;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;327.9;959.7;45.05;532.4;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;98.31;860.49;84.75;860.49;80.23;959.7;860.49;959.7;959.7;110.1;77.84;65.54;860.49;959.7;860.49;959.7;959.7;1574.49;959.7;1574.49;860.49;959.7;860.49;741.4;959.7;959.7;959.7;79.5;860.49;959.7;959.7;100.57;57.63;93.73;959.7;117.02;74.58;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;869.7;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;532.4;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;77.97;532.4;959.7;45.05;959.7;860.49;959.7;959.7;107.35;106.22;741.4;959.7;959.7;860.49;959.7;959.7;110.1;860.49;84.75;84.75;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1574.49;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1574.49;385.5;860.49;741.4;959.7;860.49;860.49;860.49;860.49;1574.49;959.7;959.7;959.7;959.7;959.7;959.7;959.7
114;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;71.82;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;536.8;959.7;1409.25;959.7;79.8;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;79;77.84;1584.12;79.8;860.49;860.49;959.7;860.49;94.56;959.7;959.7;38.73;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;329.85;959.7;45.05;536.8;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;99.18;860.49;85.5;860.49;80.94;959.7;860.49;959.7;959.7;110.1;77.84;66.12;860.49;959.7;860.49;959.7;959.7;1584.12;959.7;1584.12;860.49;959.7;860.49;747.6;959.7;959.7;959.7;80.2;860.49;959.7;959.7;101.46;58.14;94.56;959.7;117.02;75.24;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;877;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;536.8;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;78.66;536.8;959.7;45.05;959.7;860.49;959.7;959.7;108.3;107.16;747.6;959.7;959.7;860.49;959.7;959.7;110.1;860.49;85.5;85.5;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1584.12;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1584.12;388.6;860.49;747.6;959.7;860.49;860.49;860.49;860.49;1584.12;959.7;959.7;959.7;959.7;959.7;959.7;959.7
115;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;72.45;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;541.2;959.7;1417.92;959.7;80.5;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;79.7;77.84;1593.74;80.5;860.49;860.49;959.7;860.49;95.39;959.7;959.7;39.07;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;331.79;959.7;45.05;541.2;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;100.05;860.49;86.25;860.49;81.65;959.7;860.49;959.7;959.7;110.1;77.84;66.7;860.49;959.7;860.49;959.7;959.7;1593.74;959.7;1593.74;860.49;959.7;860.49;753.8;959.7;959.7;959.7;80.9;860.49;959.7;959.7;102.35;58.65;95.39;959.7;117.02;75.9;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;884.3;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;541.2;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;79.35;541.2;959.7;45.05;959.7;860.49;959.7;959.7;109.25;108.1;753.8;959.7;959.7;860.49;959.7;959.7;110.1;860.49;86.25;86.25;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1593.74;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1593.74;391.7;860.49;753.8;959.7;860.49;860.49;860.49;860.49;1593.74;959.7;959.7;959.7;959.7;959.7;959.7;959.7
116;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;73.08;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;545.6;959.7;1426.6;959.7;81.2;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;80.39;77.84;1603.37;81.2;860.49;860.49;959.7;860.49;96.22;959.7;959.7;39.41;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;333.74;959.7;45.05;545.6;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;100.92;860.49;87;860.49;82.36;959.7;860.49;959.7;959.7;110.1;77.84;67.28;860.49;959.7;860.49;959.7;959.7;1603.37;959.7;1603.37;860.49;959.7;860.49;760;959.7;959.7;959.7;81.61;860.49;959.7;959.7;103.24;59.16;96.22;959.7;117.02;76.56;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;891.6;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;545.6;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;80.04;545.6;959.7;45.05;959.7;860.49;959.7;959.7;110.2;109.04;760;959.7;959.7;860.49;959.7;959.7;110.1;860.49;87;87;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1603.37;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1603.37;394.8;860.49;760;959.7;860.49;860.49;860.49;860.49;1603.37;959.7;959.7;959.7;959.7;959.7;959.7;959.7
117;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;73.71;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;550;959.7;1435.27;959.7;81.9;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;81.08;77.84;1612.99;81.9;860.49;860.49;959.7;860.49;97.05;959.7;959.7;39.75;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;335.69;959.7;45.05;550;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;101.79;860.49;87.75;860.49;83.07;959.7;860.49;959.7;959.7;110.1;77.84;67.86;860.49;959.7;860.49;959.7;959.7;1612.99;959.7;1612.99;860.49;959.7;860.49;766.2;959.7;959.7;959.7;82.31;860.49;959.7;959.7;104.13;59.67;97.05;959.7;117.02;77.22;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;898.9;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;550;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;80.73;550;959.7;45.05;959.7;860.49;959.7;959.7;111.15;109.98;766.2;959.7;959.7;860.49;959.7;959.7;110.1;860.49;87.75;87.75;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1612.99;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1612.99;397.9;860.49;766.2;959.7;860.49;860.49;860.49;860.49;1612.99;959.7;959.7;959.7;959.7;959.7;959.7;959.7
118;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;74.34;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;554.4;959.7;1443.95;959.7;82.6;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;81.77;77.84;1622.62;82.6;860.49;860.49;959.7;860.49;97.88;959.7;959.7;40.09;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;337.64;959.7;45.05;554.4;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;102.66;860.49;88.5;860.49;83.78;959.7;860.49;959.7;959.7;110.1;77.84;68.44;860.49;959.7;860.49;959.7;959.7;1622.62;959.7;1622.62;860.49;959.7;860.49;772.4;959.7;959.7;959.7;83.01;860.49;959.7;959.7;105.02;60.18;97.88;959.7;117.02;77.88;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;906.2;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;554.4;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;81.42;554.4;959.7;45.05;959.7;860.49;959.7;959.7;112.1;110.92;772.4;959.7;959.7;860.49;959.7;959.7;110.1;860.49;88.5;88.5;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1622.62;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1622.62;401;860.49;772.4;959.7;860.49;860.49;860.49;860.49;1622.62;959.7;959.7;959.7;959.7;959.7;959.7;959.7
119;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;74.97;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;558.8;959.7;1452.63;959.7;83.3;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;82.47;77.84;1632.24;83.3;860.49;860.49;959.7;860.49;98.71;959.7;959.7;40.43;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;339.58;959.7;45.05;558.8;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;103.53;860.49;89.25;860.49;84.49;959.7;860.49;959.7;959.7;110.1;77.84;69.02;860.49;959.7;860.49;959.7;959.7;1632.24;959.7;1632.24;860.49;959.7;860.49;778.6;959.7;959.7;959.7;83.72;860.49;959.7;959.7;105.91;60.69;98.71;959.7;117.02;78.54;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;913.5;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;558.8;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;82.11;558.8;959.7;45.05;959.7;860.49;959.7;959.7;113.05;111.86;778.6;959.7;959.7;860.49;959.7;959.7;110.1;860.49;89.25;89.25;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1632.24;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1632.24;404.1;860.49;778.6;959.7;860.49;860.49;860.49;860.49;1632.24;959.7;959.7;959.7;959.7;959.7;959.7;959.7
120;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;75.6;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;563.2;959.7;1461.3;959.7;84;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;83.16;77.84;1641.87;84;860.49;860.49;959.7;860.49;99.54;959.7;959.7;40.77;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;341.53;959.7;45.05;563.2;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;104.4;860.49;90;860.49;85.2;959.7;860.49;959.7;959.7;110.1;77.84;69.6;860.49;959.7;860.49;959.7;959.7;1641.87;959.7;1641.87;860.49;959.7;860.49;784.8;959.7;959.7;959.7;84.42;860.49;959.7;959.7;106.8;61.2;99.54;959.7;117.02;79.2;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;920.8;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;563.2;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;82.8;563.2;959.7;45.05;959.7;860.49;959.7;959.7;114;112.8;784.8;959.7;959.7;860.49;959.7;959.7;110.1;860.49;90;90;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1641.87;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1641.87;407.2;860.49;784.8;959.7;860.49;860.49;860.49;860.49;1641.87;959.7;959.7;959.7;959.7;959.7;959.7;959.7
121;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;76.23;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;567.6;959.7;1469.98;959.7;84.7;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;83.85;77.84;1651.49;84.7;860.49;860.49;959.7;860.49;100.37;959.7;959.7;41.11;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;343.48;959.7;45.05;567.6;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;105.27;860.49;90.75;860.49;85.91;959.7;860.49;959.7;959.7;110.1;77.84;70.18;860.49;959.7;860.49;959.7;959.7;1651.49;959.7;1651.49;860.49;959.7;860.49;791;959.7;959.7;959.7;85.12;860.49;959.7;959.7;107.69;61.71;100.37;959.7;117.02;79.86;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;928.1;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;567.6;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;83.49;567.6;959.7;45.05;959.7;860.49;959.7;959.7;114.95;113.74;791;959.7;959.7;860.49;959.7;959.7;110.1;860.49;90.75;90.75;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1651.49;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1651.49;410.3;860.49;791;959.7;860.49;860.49;860.49;860.49;1651.49;959.7;959.7;959.7;959.7;959.7;959.7;959.7
122;63.05;754.15;959.7;860.49;860.49;117.02;117.02;959.7;817.14;959.7;76.86;959.7;860.49;117.02;117.02;860.49;860.49;63.05;959.7;117.02;959.7;959.7;959.7;959.7;860.49;860.49;860.49;817.14;860.49;959.7;959.7;117.02;860.49;572;959.7;1478.65;959.7;85.4;959.7;860.49;817.14;959.7;860.49;860.49;860.49;860.49;959.7;110.1;84.55;77.84;1661.12;85.4;860.49;860.49;959.7;860.49;101.2;959.7;959.7;41.45;959.7;110.1;959.7;959.7;117.02;63.05;959.7;77.84;860.49;117.02;959.7;345.43;959.7;45.05;572;959.7;959.7;860.49;959.7;110.1;860.49;860.49;959.7;959.7;860.49;860.49;106.14;860.49;91.5;860.49;86.62;959.7;860.49;959.7;959.7;110.1;77.84;70.76;860.49;959.7;860.49;959.7;959.7;1661.12;959.7;1661.12;860.49;959.7;860.49;797.2;959.7;959.7;959.7;85.83;860.49;959.7;959.7;108.58;62.22;101.2;959.7;117.02;80.52;117.02;117.02;959.7;959.7;959.7;117.02;959.7;860.49;959.7;935.4;959.7;860.49;959.7;860.49;110.1;959.7;959.7;959.7;572;860.49;959.7;959.7;860.49;959.7;959.7;860.49;63.05;110.1;959.7;860.49;2034.12;959.7;959.7;860.49;860.49;959.7;959.7;860.49;959.7;84.18;572;959.7;45.05;959.7;860.49;959.7;959.7;115.9;114.68;797.2;959.7;959.7;860.49;959.7;959.7;110.1;860.49;91.5;91.5;959.7;117.02;959.7;2134.88;860.49;959.7;860.49;1330.78;959.7;860.49;959.7;959.7;860.49;860.49;959.7;1661.12;959.7;959.7;117.02;860.49;959.7;860.49;959.7;117.02;1661.12;413.4;860.49;797.2;959.7;860.49;860.49;860.49;860.49;1661.12;959.7;959.7;959.7;959.7;959.7;959.7;959.7
